facility_id,facility_name,full_address,postal_code,latitude,longitude,PLN_AREA_N
76,SASCO @ West Coast,704 West Coast Road #01-431 Singapore 120704,120704,1.30634750622019,103.760538027126,CLEMENTI
77,SBWS Fu Hui Golden Care Centre,19 Compassvale Walk Fu Hui Link Singapore 544644,544644,1.38938377954597,103.900255757851,SENGKANG
78,SNM Carelight Senior Care Centre,141 Bedok Reservoir Road #01-1529 Singapore 470141,470141,1.33530647237824,103.913462151262,BEDOK
79,SPARKLE CARE @ CHANGI SIMEI,120 Simei Street 1 #01-476 Singapore 520120,520120,1.34488867578581,103.953241348812,TAMPINES
80,SPD Canberra Senior Care Centre,21 Canberra Link #02-03 Singapore 756973,756973,1.44826336410158,103.82276363189,SEMBAWANG
81,SPD Melody Spring Yishun Senior Care Centre,477B Yishun Street 44 Singapore 762477,762477,1.42750860515623,103.852710284836,YISHUN
82,SPD @ Toa Payoh,249 Kim Keat Link #01-83 Singapore 310249,310249,1.33131573283592,103.85665702204,TOA PAYOH
83,ST ANDREWS SENIOR CARE CENTRE QUEENSTOWN,11 Jalan Penjara Singapore 149380,149380,1.29815242110398,103.80803988653,QUEENSTOWN
84,ST ANDREWS SENIOR CARE JOY CONNECT,5 Beach Road #01-4919 Singapore 190005,190005,1.30434622893363,103.864815778098,KALLANG
85,ST LUKES ELDERCARE LTD - ONE PUNGGOL,1 Punggol Drive #04-06 Singapore 828629,828629,1.4086677649755,103.905220612757,PUNGGOL
86,ST ANDREWS SENIOR CARE TAMPINES NORTH,10 Tampines Street 62 SANH Tampines North Singapore 528519,528519,1.36684255098154,103.942240694514,TAMPINES
87,ST LUKES ELDERCARE - JURONG EAST,327 Jurong East Street 31 #01-74 Singapore 600327,600327,1.34912317741666,103.72898614528,JURONG EAST
88,ST LUKES ELDERCARE - KEAT HONG,801 Keat Hong Close #01-02 Singapore 680801,680801,1.37524979404042,103.743448796988,CHOA CHU KANG
89,ST LUKES ELDERCARE - SERANGOON CENTRE,217 Serangoon Avenue 4 #01-156 Singapore 550217,550217,1.35763504826187,103.87209077271,SERANGOON
90,ST LUKES ELDERCARE - TAMPINES CENTRE,101 Tampines Street 11 #01-013 Singapore 521101,521101,1.34740034584157,103.945294915705,TAMPINES
91,ST LUKES ELDERCARE - TELOK BLANGAH CENTRE,33 Telok Blangah Way #01-1038 Singapore 090033,090033,1.27436196353296,103.822184004574,BUKIT MERAH
92,ST LUKES ELDERCARE - WHAMPOA CENTRE,97 Whampoa Drive #01-222 Singapore 320097,320097,1.32128020862279,103.854938084831,NOVENA
93,ST LUKES ELDERCARE CENTRE @ ANG MO KIO POLYCLINIC,21 Ang Mo Kio Central 2 Ang Mo Kio Polyclinic #02-01 Singapore 569666,569666,1.3743245905856,103.845677779279,ANG MO KIO
94,ST LUKES ELDERCARE CENTRE @ HOUGANG MEADOW,364 Upper Serangoon Road #01-02 Singapore 530364,530364,1.37009516179177,103.897233510592,HOUGANG
95,ST LUKES ELDERCARE CENTRE @ KEBUN BARU,216 Ang Mo Kio Avenue 4 Kebun Baru Community Club Singapore 569897,569897,1.37300750160253,103.837612421294,ANG MO KIO
96,ST LUKES ELDERCARE CENTRE @ MARINE PARADE,86 Marine Parade Central #01-670 Singapore 440086,440086,1.30173721675884,103.906754510468,MARINE PARADE
97,ST LUKES ELDERCARE CENTRE @ SUMANG,222 Sumang Lane #01-01 Singapore 820222,820222,1.40111268213054,103.894269098915,PUNGGOL
